PROJ,PROJ Description
esri:102344,NAD 1983 HARN StatePlane Utah South FIPS 4303
esri:102345,NAD 1983 HARN StatePlane Vermont FIPS 4400
esri:102346,NAD 1983 HARN StatePlane Virginia North FIPS 4501
esri:102347,NAD 1983 HARN StatePlane Virginia South FIPS 4502
esri:102348,NAD 1983 HARN StatePlane Washington North FIPS 4601
esri:102349,NAD 1983 HARN StatePlane Washington South FIPS 4602
esri:102350,NAD 1983 HARN StatePlane West Virginia North FIPS 4701
esri:102351,NAD 1983 HARN StatePlane West Virginia South FIPS 4702
esri:102352,NAD 1983 HARN StatePlane Wisconsin North FIPS 4801
esri:102353,NAD 1983 HARN StatePlane Wisconsin Central FIPS 4802
esri:102354,NAD 1983 HARN StatePlane Wisconsin South FIPS 4803
esri:102355,NAD 1983 HARN StatePlane Wyoming East FIPS 4901
esri:102356,NAD 1983 HARN StatePlane Wyoming East Central FIPS 4902
esri:102357,NAD 1983 HARN StatePlane Wyoming West Central FIPS 4903
esri:102358,NAD 1983 HARN StatePlane Wyoming West FIPS 4904
esri:102629,NAD 1983 StatePlane Alabama East FIPS 0101 Feet
esri:102630,NAD 1983 StatePlane Alabama West FIPS 0102 Feet
esri:102631,NAD 1983 StatePlane Alaska 1 FIPS 5001 Feet
esri:102632,NAD 1983 StatePlane Alaska 2 FIPS 5002 Feet
esri:102633,NAD 1983 StatePlane Alaska 3 FIPS 5003 Feet
esri:102634,NAD 1983 StatePlane Alaska 4 FIPS 5004 Feet
esri:102635,NAD 1983 StatePlane Alaska 5 FIPS 5005 Feet
esri:102636,NAD 1983 StatePlane Alaska 6 FIPS 5006 Feet
esri:102637,NAD 1983 StatePlane Alaska 7 FIPS 5007 Feet
esri:102638,NAD 1983 StatePlane Alaska 8 FIPS 5008 Feet
esri:102639,NAD 1983 StatePlane Alaska 9 FIPS 5009 Feet
esri:102640,NAD 1983 StatePlane Alaska 10 FIPS 5010 Feet
esri:102641,NAD 1983 StatePlane California I FIPS 0401 Feet
esri:102642,NAD 1983 StatePlane California II FIPS 0402 Feet
esri:102643,NAD 1983 StatePlane California III FIPS 0403 Feet
esri:102644,NAD 1983 StatePlane California IV FIPS 0404 Feet
esri:102645,NAD 1983 StatePlane California V FIPS 0405 Feet
esri:102646,NAD 1983 StatePlane California VI FIPS 0406 Feet
esri:102648,NAD 1983 StatePlane Arizona East FIPS 0201 Feet
esri:102649,NAD 1983 StatePlane Arizona Central FIPS 0202 Feet
esri:102650,NAD 1983 StatePlane Arizona West FIPS 0203 Feet
esri:102651,NAD 1983 StatePlane Arkansas North FIPS 0301 Feet
esri:102652,NAD 1983 StatePlane Arkansas South FIPS 0302 Feet
esri:102653,NAD 1983 StatePlane Colorado North FIPS 0501 Feet
esri:102654,NAD 1983 StatePlane Colorado Central FIPS 0502 Feet
esri:102655,NAD 1983 StatePlane Colorado South FIPS 0503 Feet
esri:102656,NAD 1983 StatePlane Connecticut FIPS 0600 Feet
esri:102657,NAD 1983 StatePlane Delaware FIPS 0700 Feet
esri:102658,NAD 1983 StatePlane Florida East FIPS 0901 Feet
esri:102659,NAD 1983 StatePlane Florida West FIPS 0902 Feet
esri:102660,NAD 1983 StatePlane Florida North FIPS 0903 Feet
esri:102661,NAD 1983 StatePlane Hawaii 1 FIPS 5101 Feet
esri:102662,NAD 1983 StatePlane Hawaii 2 FIPS 5102 Feet
esri:102663,NAD 1983 StatePlane Hawaii 3 FIPS 5103 Feet
esri:102664,NAD 1983 StatePlane Hawaii 4 FIPS 5104 Feet
esri:102665,NAD 1983 StatePlane Hawaii 5 FIPS 5105 Feet
esri:102666,NAD 1983 StatePlane Georgia East FIPS 1001 Feet
esri:102667,NAD 1983 StatePlane Georgia West FIPS 1002 Feet
esri:102668,NAD 1983 StatePlane Idaho East FIPS 1101 Feet
esri:102669,NAD 1983 StatePlane Idaho Central FIPS 1102 Feet
esri:102670,NAD 1983 StatePlane Idaho West FIPS 1103 Feet
esri:102671,NAD 1983 StatePlane Illinois East FIPS 1201 Feet
esri:102672,NAD 1983 StatePlane Illinois West FIPS 1202 Feet
esri:102673,NAD 1983 StatePlane Indiana East FIPS 1301 Feet
esri:102674,NAD 1983 StatePlane Indiana West FIPS 1302 Feet
esri:102675,NAD 1983 StatePlane Iowa North FIPS 1401 Feet
esri:102676,NAD 1983 StatePlane Iowa South FIPS 1402 Feet
esri:102677,NAD 1983 StatePlane Kansas North FIPS 1501 Feet
esri:102678,NAD 1983 StatePlane Kansas South FIPS 1502 Feet
esri:102679,NAD 1983 StatePlane Kentucky North FIPS 1601 Feet
esri:102680,NAD 1983 StatePlane Kentucky South FIPS 1602 Feet
esri:102681,NAD 1983 StatePlane Louisiana North FIPS 1701 Feet
